Verb,NZZ_ID,Token_ID,Sentence,pattern,Stimulus_Type,Stimulus_PP,Comment,sem_class_subj,sem_class_PP_int,interpr_sem_class_PP_int,det_PP_int,Comment_PP
beeindrucken,NZZ_1993_03_01_a48_seg2_s11,6,"Der Herzog von Antonius Nicolescu beeindruckt durch sichere Spitzentöne , wirkt aber in den leicht dahingleitenden Arien bisweilen etwas zu angestrengt .",X-STM_V,ambiguous,durch,,ambiguous,abstract_obj,event(action),,"utterance, (part of) piece of art"
beeindrucken,NZZ_1993_04_10_a57_seg2_s11,6,"Der Amerikaner Jon Geoffrey Goldsworthy beeindruckte in der anforderungsreichen Partie des begnadeten Sängers durch seinen affektgeladenen Vortrag , büsste seinen Effort allerdings gegen Ende mit gewissen Ermüdungserscheinungen .",X-STM_V,anim,durch,,human,"event(action),abstract_obj",,det_coref_subj,"utterance, (part of) piece of art"
beeindrucken,NZZ_1993_04_26_a217_seg3_s10,12,Wie 1992 gewann er zu Beginn des Monats die Baskenlandrundfahrt und beeindruckte die Gegner vor einer Woche erneut mit einer starken Leistung in der Classique Lüttich-Bastogne-Lüttich .,X-STM_V_Y-EXP,anim,mit,,human,"event(action),abstract_obj",,,
beeindrucken,NZZ_1993_04_30_a147_seg3_s29,16,"Balltechnisch stärker als die Engländer , genauer im Zuspiel und noch immer ohne taktische Zwangsjacke beeindruckten die « Oranje » diesmal durch ihren Kampfgeist .",X-STM_V,anim_proxy,durch,,anim_proxy,property,,det_coref_subj,
beeindrucken,NZZ_1993_05_05_a48_seg7_s4,32,"Dass und wie Camus diese « Sünde » nicht begangen , seine Lebens-Zeit nicht verloren und seine Epochen-Zeit durch Revolte und « Résistance » im Handeln , Denken und Schreiben ausserordentlich beeindruckt und geprägt hat , wird in seiner Lebensgeschichte sichtbar .",X-STM_V_Y-EXP,anim,durch,EXP_anim_proxy,human,event(action)/event(action),property/property,,
beeindrucken,NZZ_1993_05_18_a168_seg1_s7,12,"Trotz den hohen Preisgeldsummen , die auf dem Spiel stehen , beeindruckten beide Equipen durch eine in Europa rar gewordene Fairness .",X-STM_V,anim_proxy,durch,,anim_proxy,property,,,
beeindrucken,NZZ_1993_05_27_a98_seg10_s5,4,"In vielen Momenten beeindruckte der französische Meister jedenfalls auch nach diesem Treffer durch die geradezu exemplarische Taktik - mit einem Libero und vier weiteren Defensivspielern , von denen Di Méco und Eydelie die Flanken abschirmten und Angloma bzw. Desailly sich der beiden Sturmspitzen annahmen .",X-STM_V,anim_proxy,durch,,anim_proxy,abstract_obj,event(action),,
beeindrucken,NZZ_1993_06_03_a98_seg2_s7,3,"Der Spanier beeindruckte auf einer Strecke , die vom dritten bis zum siebenten Kilometer eine in zwei Stufen verlaufende Steigung enthielt , durch Eleganz und Leichtigkeit , mit der er seine angemessen grossen Gänge in Schwung hielt .",X-STM_V,anim,durch,,human,property/property,,,
beeindrucken,NZZ_1993_06_04_a122_seg2_s34,12,"Die Leistungsdichte , mit der die Schweden während Jahren die Konkurrenz beeindruckten , hemmt nun umgekehrt den Vormarsch junger Nordländer .",X-STM_V_Y-EXP,anim,mit,,human,property,,,
beeindrucken,NZZ_1993_06_21_a35_seg15_s6,23,"1 Der 1943 in Bern geborene Roland Moser , der den Reigen mit « Neigung » aus den Jahren 1969-72 eröffnet , beeindruckt einmal mehr durch seinen differenzierten Umgang mit dem musikalischen Erbe der jüngeren Vergangenheit .",X-STM_V,anim,durch,,human,event(action),,det_coref_subj,
beeindrucken,NZZ_1993_07_24_a170_seg2_s8,9,"Bei allen Ehrungen hat er durch seine Bescheidenheit beeindruckt und blieb seinen vielen Schülern und Freunden auch nach dem tragischen Autounfall von 1973 , der ihn seiner körperlichen Kräfte beraubte , ein treuer und aufmunternder Berater .",X-STM_V,anim,durch,,human,property,,det_coref_subj,
beeindrucken,NZZ_1993_07_27_a34_seg2_s8,8,"Es vermag auch durch eine Architektur zu beeindrucken , die alles andere als einschmeichelnd wirkt und sich in ihrer Härte selbstbewusst dem gefälligen Touristenimage entgegenstellt .",X-STM_V,ambiguous,durch,,ambiguous,"concrete_obj,abstract_obj",,,(part of) piece of art
beeindrucken,NZZ_1993_08_05_a47_seg3_s7,10,"Leider vermögen nur wenige mit Vitalität und Ideenreichtum zu beeindrucken , die meisten sind ein Abklatsch vergangener Tage .",X-STM_V,ambiguous,mit,,ambiguous,property/property,,,
beeindrucken,NZZ_1993_08_14_a157_seg8_s4,60,"Festzustellen ist , dass jener starke und nachhaltige Impuls im Osten vorläufig nicht wirksam geworden ist , der seinerzeit , 1948 , in den westlichen Zonen des geteilten Deutschland mit der Währungsreform und der Abschaffung staatswirtschaftlicher Reglementierung die Szene sozusagen über Nacht verwandelt und das in Gang gebracht hatte , was dann die Welt als deutsches « Wirtschaftswunder » beeindruckte .",X-STM_V_Y-EXP,ambiguous,als,metonymic_EXP,ambiguous,abstract_obj,,,no_det
beeindrucken,NZZ_1993_08_16_a76_seg6_s2,7,"In vielen Phasen der ersten Halbzeit beeindruckten nämlich die Zürcher durch offensiv ausgerichtetes Spiel , Schnörkellosigkeit , Frechheit , Qualitäten in der Angriffsauslösung sowie kräfteraubendes , effizientes Pressing .",X-STM_V,anim,durch,,human,event(action)/property/property/property/event(action),,,no_det////
beeindrucken,NZZ_1993_08_30_a75_seg3_s4,15,"Zwar gingen die Aarauer in jeder Phase der Begegnung äusserst konzentriert zu Werke und beeindruckten bis zum Schlusspfiff durch ihre Bereitschaft zu generösem , kämpferischem Engagement , doch es darf nicht ausser acht gelassen werden , dass Xamax die in diesem Championat bisher schwächste Equipe auf dem Brügglifeld war .",X-STM_V,anim,durch,,human,property,,det_coref_subj,
beeindrucken,NZZ_1993_12_03_a113_seg4_s5,8,"Dennoch lag Akinwande klar im Vorteil , beeindruckte durch Schnelligkeit und die Fähigkeit , während der Positionswechsel zu schlagen - eine an einem zwei Meter grossen Schwergewichtsboxer erwähnenswerte Eigenschaft .",X-STM_V,anim,durch,,human,property/property,,,
beeindrucken,NZZ_1993_12_06_a87_seg2_s3,14,"Nach dem Sieg auf dem Letzigrund und den Remis in Lugano und Sitten beeindruckte der Tabellenletzte , der SC Kriens , auch auf dem Hardturm durch eine klare Spielorganisation , vorbildliche Nutzung der Platzbreite und ( last but not least ) durch den bekannten Eifer .",X-STM_V,anim_proxy,durch,,anim_proxy,event(action)/event(action)+event(action),property/property+property,,
beeindrucken,NZZ_1993_12_07_a88_seg1_s13,24,"DRS 2 , 12.50/22.10 Reflexe-Journal Mit « Life on a String » hat der chinesische Regisseur Chen Kaige vor zweieinhalb Jahren das Publikum beeindruckt .",X-STM_V_Y-EXP,anim,mit,title,human,abstract_obj,,,(part of) piece of art
beeindrucken,NZZ_1993_12_13_a183_seg5_s7,4,"An der Premiere beeindruckte besonders der ( von einem Mädchen verkörperte ) « Gestiefelte Kater » durch sein geschmeidiges , natürlich-keckes Spiel .",X-STM_V,anim,durch,,human,event(action),property,det_coref_subj,(part of) piece of art
beeindrucken,NZZ_1993_01_28_a37_seg3_s5,3,"Die Berichte beeindrucken durch Intelligenz , Treffsicherheit , Bildhaftigkeit , Genauigkeit des Erzählens .",X-STM_V,inanim,durch,,abstract_obj,property/property/property/property,,,
beeindrucken,NZZ_1993_02_04_a53_seg2_s25,7,"Was bei der Durchsicht des Ganzen beeindruckt , ist die Disziplin , dank der das begriffsgeschichtliche gegenüber einem geistes- , ideen- oder auch sprachgeschichtlichen Verfahren abgegrenzt bleibt .",X-STM_V,inanim,bei,,property,event,,,
beeindrucken,NZZ_1993_02_06_a90_seg8_s2,3,"Diese Komposition beeindruckt durch ihre Freiheit und Lebendigkeit im formalen Aufbau , der sich von jeglichem Schematismus gelöst hat .",X-STM_V,inanim,durch,,abstract_obj,property/property,,det_coref_subj,(part of) piece of art
beeindrucken,NZZ_1993_02_09_a61_seg2_s19,11,"Bei dem « Alten Mann im Fenster » von Hoogstraten beeindruckt die perfekte Wiedergabe der verschiedenen Materialien wie Stein , durchsichtiges Glas , Blei und Holz , die mit dem Fell der Mütze und der faltigen Haut des Alten kontrastieren .",X-STM_V,inanim,bei,,concrete_obj,property,,,(part of) piece of art
